,initial angle,arc_length,incidence angle,distance from mirror
883,0.0008830883088308831,1.3862990444497404e-05,0.00998316138123354,6.927275210912269e-08
884,0.0008840884088408841,1.387868611475351e-05,0.0099944668318011,6.942962196490022e-08
885,0.0008850885088508852,1.389438177054048e-05,0.010005772280596592,6.958666912249927e-08
886,0.0008860886088608861,1.3910077411666521e-05,0.01001707772754155,6.974389357964242e-08
887,0.0008870887088708871,1.392577303940897e-05,0.010028383173019005,6.990129534878475e-08
888,0.0008880888088808881,1.3941468651931577e-05,0.010039688616509864,7.005887441115712e-08
889,0.0008890889088908891,1.3957164250731358e-05,0.010050994058515068,7.021663078143856e-08
890,0.0008900890089008902,1.3972859834415803e-05,0.010062299498482653,7.037456444527494e-08
891,0.0008910891089108911,1.3988555404154404e-05,0.010073604936881137,7.053267541408087e-08
892,0.0008920892089208921,1.4004250958957869e-05,0.010084910373352424,7.069096367753386e-08
893,0.0008930893089308931,1.4019946499910523e-05,0.010096215808316903,7.084942924622013e-08
894,0.0008940894089408941,1.4035642026157206e-05,0.01010752124137314,7.1008072111153e-08
895,0.0008950895089508952,1.4051337538142717e-05,0.010118826672786005,7.116689227647503e-08
896,0.0008960896089608961,1.4067033036234905e-05,0.01013013210258609,7.132588974556479e-08
897,0.0008970897089708971,1.4082728518966926e-05,0.010141437530417205,7.148506450320131e-08
898,0.0008980898089808981,1.4098423987680686e-05,0.010152742956610866,7.164441656263566e-08
899,0.0008990899089908991,1.4114119441674207e-05,0.010164048381026157,7.180394591638798e-08
900,0.0009000900090009002,1.4129814881382205e-05,0.010175353803770715,7.196365256852261e-08
901,0.0009010901090109011,1.4145510305886729e-05,0.010186659224441955,7.212353650933316e-08
902,0.0009020902090209021,1.4161205716894017e-05,0.010197964643775634,7.2283597755855e-08
903,0.0009030903090309031,1.4176901112431019e-05,0.010209270061075165,7.244383628760765e-08
904,0.0009040904090409041,1.4192596493653686e-05,0.010220575476700524,7.26042521160295e-08
905,0.0009050905090509052,1.4208291860012322e-05,0.010231880890387237,7.276484523514206e-08
906,0.0009060906090609061,1.4223987212677226e-05,0.010243186302741063,7.29256156565759e-08
907,0.0009070907090709071,1.423968254938791e-05,0.010254491712814444,7.308656335680544e-08
908,0.0009080908090809081,1.4255377872364517e-05,0.010265797121433513,7.324768835823868e-08
909,0.0009090909090909091,1.4271073180463179e-05,0.010277102528204327,7.340899064878037e-08
910,0.0009100910091009102,1.4286768474162479e-05,0.010288407933298013,7.357047023299169e-08
911,0.0009110911091109111,1.4302463753376942e-05,0.010299713336705922,7.373212710964022e-08
912,0.0009120912091209121,1.431815901651439e-05,0.0103110187378441,7.389396126194583e-08
913,0.0009130913091309131,1.4333854265786077e-05,0.010322324137534509,7.405597271234759e-08
914,0.0009140914091409141,1.434954950038563e-05,0.010333629535427406,7.421816145217099e-08
915,0.0009150915091509152,1.4365244719918773e-05,0.01034493493153496,7.438052747697753e-08
916,0.0009160916091609161,1.438093992530117e-05,0.010356240325953604,7.454307079588283e-08
917,0.0009170917091709172,1.4396635114612022e-05,0.010367545718212988,7.470579138861912e-08
918,0.0009180918091809181,1.4412330290930015e-05,0.010378851109257313,7.48686892867571e-08
919,0.0009190919091909191,1.4428025451114203e-05,0.010390156498123203,7.503176445733392e-08
920,0.0009200920092009201,1.4443720596961084e-05,0.010401461885337866,7.519501691864508e-08
921,0.0009210921092109211,1.4459415727163396e-05,0.01041276727050167,7.535844665672196e-08
922,0.0009220922092209222,1.447511084291472e-05,0.01042407265403173,7.55220536836272e-08
923,0.0009230923092309231,1.4490805944975218e-05,0.0104353780361045,7.568583800694375e-08
924,0.0009240924092409241,1.4506501030032455e-05,0.010446683415749827,7.584979959171996e-08
925,0.0009250925092509251,1.4522196101500636e-05,0.010457988793999338,7.601393847325524e-08
926,0.0009260926092609261,1.4537891158096032e-05,0.010469294170455617,7.617825463777437e-08
927,0.0009270927092709272,1.4553586198492655e-05,0.010480599544730688,7.634274807100976e-08
928,0.0009280928092809281,1.4569281224836296e-05,0.010491904917480902,7.65074187950846e-08
929,0.0009290929092909291,1.4584976235829098e-05,0.010503210288329606,7.667226679601963e-08
930,0.0009300930093009301,1.4600671232681654e-05,0.01051451565765159,7.683729208617262e-08
931,0.0009310931093109311,1.4616366213455255e-05,0.01052582102472072,7.700249464478198e-08
932,0.0009320932093209322,1.46320611802073e-05,0.010537126390365094,7.716787449314083e-08
933,0.0009330933093309331,1.4647756131242997e-05,0.010548431754044168,7.733343161302395e-08
934,0.0009340934093409341,1.4663451067431204e-05,0.01055973711589102,7.74991660132221e-08
935,0.0009350935093509351,1.4679145988356576e-05,0.010571042475866727,7.766507768897958e-08
936,0.0009360936093609361,1.4694840893527327e-05,0.010582347833867821,7.783116663471604e-08
937,0.0009370937093709372,1.4710535784637305e-05,0.010593653190278317,7.799743286799432e-08
938,0.0009380938093809381,1.4726230660259855e-05,0.010604958544884557,7.816387637333857e-08
939,0.0009390939093909391,1.4741925520524889e-05,0.010616263897504212,7.833049715174662e-08
940,0.0009400940094009401,1.4757620366328088e-05,0.010627569248539078,7.849729521236526e-08
941,0.0009410941094109411,1.4773315196681971e-05,0.01063887459770496,7.866427054433248e-08
942,0.0009420942094209422,1.4789010011059475e-05,0.010650179944669888,7.883142314165109e-08
